date,event_count,pos_count,neg_count,sentiment_sum,sentiment_mean,max_abs_sentiment
2020-08-28,1,1,0,0.85,0.85,0.85
2020-08-31,3,0,3,-2.55,-0.85,0.9
2020-09-04,1,0,1,-0.85,-0.85,0.85
2020-09-29,1,0,1,-0.85,-0.85,0.85
2020-10-08,1,0,1,-0.75,-0.75,0.75
2020-11-17,1,0,1,-0.85,-0.85,0.85
2020-12-10,1,0,1,-0.9,-0.9,0.9
2020-12-11,3,1,2,-0.95,-0.316667,0.9
2020-12-12,2,0,2,-1.7,-0.85,0.85
2020-12-14,1,0,1,-0.9,-0.9,0.9
2020-12-16,1,0,1,-0.85,-0.85,0.85
2020-12-18,1,1,0,0.9,0.9,0.9
2020-12-21,2,0,2,-1.8,-0.9,0.9
2020-12-22,2,0,2,-1.8,-0.9,0.9
2020-12-23,2,1,1,0.05,0.025,0.9
2020-12-24,1,0,0,0.0,0.0,0.0
2020-12-28,1,0,1,-0.9,-0.9,0.9
2020-12-29,1,0,1,-0.85,-0.85,0.85
2020-12-30,6,6,0,5.2,0.866667,0.9
2020-12-31,6,3,3,0.1,0.016667,0.9
2021-01-07,2,2,0,1.8,0.9,0.95
2021-01-08,1,1,0,0.9,0.9,0.9
2021-01-11,3,0,3,-2.6,-0.866667,0.9
2021-01-12,2,1,1,0.2,0.1,0.95
2021-01-13,2,0,2,-1.7,-0.85,0.85
2021-01-14,3,1,2,-0.9,-0.3,0.9
2021-01-15,2,1,1,0.0,0.0,0.85
2021-01-18,2,1,1,0.0,0.0,0.9
2021-01-19,1,0,1,-0.85,-0.85,0.85
2021-01-20,2,2,0,1.75,0.875,0.9
2021-01-21,2,0,2,-1.75,-0.875,0.9
2021-01-22,1,0,1,-0.9,-0.9,0.9
2021-01-24,1,1,0,0.9,0.9,0.9
2021-01-25,3,1,2,-0.85,-0.283333,0.85
2021-01-26,1,0,1,-0.75,-0.75,0.75
2021-01-27,3,2,0,1.75,0.583333,0.9
2021-01-28,4,2,2,-0.05,-0.0125,0.9
2021-01-29,1,0,1,-0.85,-0.85,0.85
2021-02-01,1,1,0,0.85,0.85,0.85
2021-02-04,2,1,1,0.0,0.0,0.9
2021-02-05,1,1,0,0.9,0.9,0.9
2021-02-09,3,2,1,0.8,0.266667,0.9
2021-02-10,3,3,0,2.65,0.883333,0.9
2021-02-11,3,0,3,-2.65,-0.883333,0.9
2021-02-12,2,2,0,1.8,0.9,0.9
2021-02-15,2,1,1,0.0,0.0,0.9
2021-02-16,2,2,0,1.75,0.875,0.9
2021-02-17,2,1,1,0.05,0.025,0.95
2021-02-18,2,1,1,0.0,0.0,0.9
2021-02-19,3,0,3,-2.7,-0.9,0.9
2021-02-22,3,2,1,0.95,0.316667,0.95
2021-02-23,1,1,0,0.9,0.9,0.9
2021-02-24,4,3,1,1.8,0.45,0.9
2021-02-25,4,1,2,-0.85,-0.2125,0.9
2021-02-26,2,0,2,-1.6,-0.8,0.85
2021-03-01,4,1,2,-0.8,-0.2,0.9
2021-03-02,5,1,1,-0.05,-0.01,0.9
2021-03-03,4,0,4,-3.45,-0.8625,0.9
2021-03-04,1,0,1,-0.85,-0.85,0.85
2021-03-05,3,2,1,1.05,0.35,0.9
2021-03-07,2,1,1,0.1,0.05,0.95
2021-03-08,2,0,2,-1.65,-0.825,0.85
2021-03-09,2,1,0,0.9,0.45,0.9
2021-03-10,6,3,3,0.0,0.0,0.9
2021-03-11,2,1,0,0.85,0.425,0.85
2021-03-12,2,1,1,-0.05,-0.025,0.85
2021-03-15,1,1,0,0.9,0.9,0.9
2021-03-16,3,2,1,0.85,0.283333,0.9
2021-03-17,5,1,2,-0.8,-0.16,0.9
2021-03-18,2,1,1,-0.05,-0.025,0.9
2021-03-19,4,1,3,-1.75,-0.4375,0.9
2021-03-22,2,0,2,-1.7,-0.85,0.85
2021-03-23,4,1,3,-1.75,-0.4375,0.9
2021-03-24,7,4,3,0.95,0.135714,0.95
2021-03-25,3,0,3,-2.65,-0.883333,0.9
2021-03-26,2,2,0,1.8,0.9,0.9
2021-03-29,3,2,1,1.0,0.333333,0.9
2021-03-31,4,1,3,-1.75,-0.4375,0.9
2021-04-01,2,0,1,-0.95,-0.475,0.95
2021-04-02,1,0,1,-0.9,-0.9,0.9
2021-04-05,6,2,4,-1.9,-0.316667,0.9
2021-04-06,4,3,1,1.65,0.4125,0.9
2021-04-07,3,2,1,0.85,0.283333,0.85
2021-04-08,5,1,3,-1.75,-0.35,0.9
2021-04-09,3,0,3,-2.55,-0.85,0.85
2021-04-10,1,0,0,0.0,0.0,0.0
2021-04-12,2,1,1,0.1,0.05,0.85
2021-04-13,3,3,0,2.6,0.866667,0.9
2021-04-14,4,3,1,1.9,0.475,0.9
2021-04-15,4,2,2,-0.05,-0.0125,0.9
2021-04-16,2,0,1,-0.85,-0.425,0.85
2021-04-19,4,0,4,-3.4,-0.85,0.85
2021-04-20,5,1,4,-2.4,-0.48,0.9
2021-04-21,3,0,3,-2.65,-0.883333,0.9
2021-04-22,2,1,1,0.05,0.025,0.9
2021-04-23,3,2,1,0.85,0.283333,0.9
2021-04-24,1,0,1,-0.85,-0.85,0.85
2021-04-26,4,0,4,-3.5,-0.875,0.9
2021-04-27,2,1,1,0.0,0.0,0.85
2021-04-28,2,2,0,1.75,0.875,0.9
2021-04-29,1,1,0,0.9,0.9,0.9
2021-04-30,3,1,2,-0.9,-0.3,0.9
2021-05-04,2,1,1,0.05,0.025,0.9
2021-05-05,1,1,0,0.9,0.9,0.9
2021-05-06,4,2,1,0.85,0.2125,0.9
2021-05-07,1,0,1,-0.9,-0.9,0.9
2021-05-08,1,1,0,0.9,0.9,0.9
2021-05-09,1,0,1,-0.9,-0.9,0.9
2021-05-10,2,1,1,0.15,0.075,0.9
2021-05-11,1,1,0,0.85,0.85,0.85
2021-05-12,2,2,0,1.8,0.9,0.9
2021-05-13,2,0,2,-1.6,-0.8,0.85
2021-05-14,5,4,1,2.8,0.56,0.9
2021-05-15,1,0,1,-0.9,-0.9,0.9
2021-05-17,6,2,4,-1.65,-0.275,0.9
2021-05-18,1,0,1,-0.85,-0.85,0.85
2021-05-19,6,0,6,-5.15,-0.858333,0.9
2021-05-20,3,0,3,-2.65,-0.883333,0.9
2021-05-21,5,3,2,0.9,0.18,0.9
2021-05-23,1,1,0,0.85,0.85,0.85
2021-05-24,2,0,1,-0.85,-0.425,0.85
2021-05-25,3,1,2,-0.85,-0.283333,0.85
2021-05-26,4,2,2,0.05,0.0125,0.9
2021-05-27,1,1,0,0.9,0.9,0.9
2021-05-28,4,4,0,3.5,0.875,0.9
2021-06-01,5,4,1,2.6,0.52,0.9
2021-06-02,4,3,0,2.7,0.675,0.9
2021-06-03,5,4,1,2.7,0.54,0.9
2021-06-04,2,2,0,1.75,0.875,0.9
2021-06-07,9,3,6,-2.1,-0.233333,0.9
2021-06-08,6,1,5,-3.45,-0.575,0.9
2021-06-09,9,7,2,4.5,0.5,0.95
2021-06-10,4,3,0,2.6,0.65,0.9
2021-06-11,5,5,0,4.35,0.87,0.9
2021-06-14,3,1,2,-0.95,-0.316667,0.9
2021-06-15,3,2,1,0.9,0.3,0.9
2021-06-16,6,6,0,5.3,0.883333,0.9
2021-06-17,5,1,4,-2.65,-0.53,0.9
2021-06-18,9,5,4,0.95,0.105556,0.9
2021-06-21,4,3,1,1.75,0.4375,0.9
2021-06-22,6,4,2,1.8,0.3,0.9
2021-06-23,3,3,0,2.7,0.9,0.9
2021-06-24,7,4,3,0.95,0.135714,0.9
2021-06-25,1,0,1,-0.85,-0.85,0.85
2021-06-28,5,1,4,-2.6,-0.52,0.9
2021-06-29,3,1,2,-0.65,-0.216667,0.9
2021-06-30,7,6,1,4.4,0.628571,0.9
2021-07-01,6,2,3,-0.85,-0.141667,0.9
2021-07-02,2,0,0,0.0,0.0,0.0
2021-07-04,1,1,0,0.9,0.9,0.9
2021-07-05,6,1,3,-1.55,-0.258333,0.9
2021-07-06,8,8,0,7.25,0.90625,0.95
2021-07-07,4,1,3,-1.8,-0.45,0.9
2021-07-08,9,2,7,-4.15,-0.461111,0.95
2021-07-09,6,2,4,-1.65,-0.275,0.9
2021-07-12,8,4,4,0.2,0.025,0.9
2021-07-13,2,2,0,1.8,0.9,0.9
2021-07-14,4,0,4,-3.45,-0.8625,0.9
2021-07-15,9,2,7,-4.3,-0.477778,0.9
2021-07-16,1,1,0,0.85,0.85,0.85
2021-07-19,3,0,3,-2.75,-0.916667,0.95
2021-07-20,3,0,3,-2.65,-0.883333,0.9
2021-07-21,7,0,6,-5.05,-0.721429,0.9
2021-07-22,6,5,1,3.4,0.566667,0.9
2021-07-23,3,2,1,0.85,0.283333,0.9
2021-07-27,4,1,3,-1.7,-0.425,0.9
2021-07-28,5,5,0,4.35,0.87,0.9
2021-07-29,4,3,1,1.75,0.4375,0.9
2021-07-30,1,1,0,0.9,0.9,0.9
2021-08-02,3,0,3,-2.65,-0.883333,0.9
2021-08-03,6,4,2,1.7,0.283333,0.9
2021-08-04,4,1,3,-1.7,-0.425,0.9
2021-08-05,5,3,2,0.85,0.17,0.9
2021-08-06,4,0,4,-3.4,-0.85,0.85
2021-08-07,1,0,1,-0.85,-0.85,0.85
2021-08-09,9,1,8,-6.3,-0.7,0.9
2021-08-10,4,4,0,3.45,0.8625,0.9
2021-08-11,5,3,2,0.9,0.18,0.9
2021-08-12,6,0,6,-5.25,-0.875,0.9
2021-08-13,1,0,1,-0.85,-0.85,0.85
2021-08-16,3,1,2,-0.85,-0.283333,0.9
2021-08-17,3,0,2,-1.8,-0.6,0.9
2021-08-18,3,1,1,0.15,0.05,0.9
2021-08-19,5,0,5,-4.45,-0.89,0.9
2021-08-20,2,0,2,-1.7,-0.85,0.85
2021-08-23,2,2,0,1.75,0.875,0.9
2021-08-24,2,0,2,-1.8,-0.9,0.9
2021-08-25,3,1,1,0.0,0.0,0.85
2021-08-26,1,0,1,-0.85,-0.85,0.85
2021-08-27,1,0,1,-0.85,-0.85,0.85
2021-08-29,1,1,0,0.9,0.9,0.9
2021-08-30,5,5,0,4.6,0.92,0.95
2021-08-31,3,0,3,-2.65,-0.883333,0.9
2021-09-01,3,1,2,-0.9,-0.3,0.9
2021-09-02,5,0,5,-4.5,-0.9,0.9
2021-09-03,3,1,2,-0.9,-0.3,0.9
2021-09-05,2,0,2,-1.75,-0.875,0.9
2021-09-06,4,2,2,-0.25,-0.0625,0.9
2021-09-07,1,0,1,-0.9,-0.9,0.9
2021-09-08,5,0,3,-2.5,-0.5,0.9
2021-09-09,2,1,1,0.0,0.0,0.85
2021-09-10,3,2,1,0.95,0.316667,0.9
2021-09-11,1,0,1,-0.85,-0.85,0.85
2021-09-13,6,4,1,2.75,0.458333,0.9
2021-09-14,4,3,1,1.7,0.425,0.85
2021-09-15,6,5,1,3.7,0.616667,0.95
2021-09-16,5,3,2,0.7,0.14,0.9
2021-09-20,6,1,4,-2.65,-0.441667,0.9
2021-09-21,1,1,0,0.9,0.9,0.9
2021-09-22,5,5,0,4.5,0.9,0.9
2021-09-23,4,4,0,3.6,0.9,0.9
2021-09-24,7,6,1,4.65,0.664286,0.95
2021-09-25,1,0,1,-0.85,-0.85,0.85
2021-09-27,7,3,2,0.9,0.128571,0.9
2021-09-28,5,3,1,1.8,0.36,0.95
2021-09-29,7,1,6,-4.2,-0.6,0.9
2021-09-30,6,3,3,0.0,0.0,0.9
2021-10-01,4,2,2,0.05,0.0125,0.9
2021-10-04,4,4,0,3.7,0.925,0.95
2021-10-05,5,3,2,0.95,0.19,0.9
2021-10-06,8,6,2,3.55,0.44375,0.95
2021-10-07,10,6,4,1.75,0.175,0.9
2021-10-08,8,5,3,1.9,0.2375,0.95
2021-10-11,6,5,0,4.35,0.725,0.9
2021-10-12,5,3,2,0.85,0.17,0.9
2021-10-13,11,5,6,-0.6,-0.054545,0.95
2021-10-14,10,7,3,3.6,0.36,0.9
2021-10-15,8,7,1,5.35,0.66875,0.9
2021-10-18,12,7,5,1.9,0.158333,0.9
2021-10-19,6,3,3,0.05,0.008333,0.9
2021-10-20,12,8,4,3.6,0.3,0.9
2021-10-21,12,5,7,-1.5,-0.125,0.9
2021-10-22,3,2,1,0.95,0.316667,0.95
2021-10-25,6,5,1,3.6,0.6,0.9
2021-10-26,3,2,1,0.9,0.3,0.9
2021-10-27,7,2,5,-2.6,-0.371429,0.9
2021-10-28,7,4,3,0.95,0.135714,0.9
2021-10-29,9,5,3,1.85,0.205556,0.9
2021-10-31,1,1,0,0.9,0.9,0.9
2021-11-01,12,8,3,4.35,0.3625,0.9
2021-11-02,6,3,2,0.95,0.158333,0.9
2021-11-03,7,2,5,-2.55,-0.364286,0.9
2021-11-04,3,2,1,0.85,0.283333,0.9
2021-11-05,3,3,0,2.7,0.9,0.9
2021-11-08,10,8,1,6.3,0.63,0.95
2021-11-09,5,4,1,2.65,0.53,0.9
2021-11-10,9,7,2,4.5,0.5,0.9
2021-11-11,5,0,5,-4.45,-0.89,0.9
2021-11-12,5,2,3,-0.8,-0.16,0.9
2021-11-14,1,0,1,-0.9,-0.9,0.9
2021-11-15,3,1,2,-0.85,-0.283333,0.9
2021-11-16,6,5,1,3.35,0.558333,0.9
2021-11-17,6,2,4,-1.75,-0.291667,0.9
2021-11-18,8,0,6,-4.95,-0.61875,0.9
2021-11-19,13,2,11,-8.0,-0.615385,0.9
2021-11-20,1,0,1,-0.9,-0.9,0.9
2021-11-21,2,0,2,-1.75,-0.875,0.9
2021-11-22,6,1,4,-2.5,-0.416667,0.9
2021-11-23,13,3,10,-6.3,-0.484615,0.95
2021-11-24,16,3,13,-8.95,-0.559375,0.9
2021-11-25,6,1,5,-3.5,-0.583333,0.9
2021-11-26,11,0,11,-9.75,-0.886364,0.9
2021-11-29,11,5,6,-0.85,-0.077273,0.9
2021-11-30,4,1,3,-1.75,-0.4375,0.9
2021-12-01,15,8,7,0.65,0.043333,0.9
2021-12-02,14,6,8,-1.75,-0.125,0.9
2021-12-03,5,4,1,2.55,0.51,0.9
2021-12-05,5,2,2,0.05,0.01,0.95
2021-12-06,24,17,3,12.5,0.520833,0.95
2021-12-07,9,7,2,4.45,0.494444,0.9
2021-12-08,7,3,3,-0.2,-0.028571,0.9
2021-12-09,8,2,6,-3.45,-0.43125,0.9
2021-12-10,17,10,7,2.55,0.15,0.9
2021-12-12,5,4,1,2.6,0.52,0.9
2021-12-13,6,1,5,-3.35,-0.558333,0.9
2021-12-14,8,0,8,-6.8,-0.85,0.9
2021-12-15,11,0,11,-9.65,-0.877273,0.9
2021-12-16,12,12,0,10.3,0.858333,0.9
2021-12-17,10,1,8,-6.25,-0.625,0.9
2021-12-20,6,1,5,-3.7,-0.616667,0.95
2021-12-21,11,10,1,7.8,0.709091,0.9
2021-12-22,5,5,0,4.4,0.88,0.9
2021-12-23,6,4,2,1.85,0.308333,0.9
2021-12-26,1,1,0,0.85,0.85,0.85
2021-12-27,3,0,3,-2.45,-0.816667,0.85
2021-12-28,3,3,0,2.7,0.9,0.9
2021-12-29,6,4,2,1.85,0.308333,0.9
2021-12-30,8,3,4,-0.75,-0.09375,0.9
2021-12-31,2,1,1,0.0,0.0,0.9
2022-01-02,1,0,1,-0.85,-0.85,0.85
2022-01-03,3,2,1,0.8,0.266667,0.9
2022-01-04,6,6,0,5.4,0.9,0.95
2022-01-05,5,4,1,2.5,0.5,0.9
2022-01-06,11,6,4,1.9,0.172727,0.95
2022-01-07,5,4,1,2.55,0.51,0.9
2022-01-09,1,0,1,-0.85,-0.85,0.85
2022-01-10,13,8,5,2.5,0.192308,0.95
2022-01-11,7,6,1,4.2,0.6,0.9
2022-01-12,7,7,0,5.9,0.842857,0.9
2022-01-13,6,3,3,0.0,0.0,0.9
2022-01-14,3,2,1,0.9,0.3,0.95
2022-01-16,1,1,0,0.9,0.9,0.9
2022-01-17,4,2,2,-0.15,-0.0375,0.9
2022-01-18,14,13,1,10.6,0.757143,0.9
2022-01-19,9,8,1,6.25,0.694444,0.95
2022-01-20,4,1,3,-1.6,-0.4,0.9
2022-01-21,7,3,4,-0.8,-0.114286,0.9
2022-01-23,2,1,1,0.0,0.0,0.9
2022-01-24,10,4,6,-1.55,-0.155,0.95
2022-01-25,9,4,5,-0.9,-0.1,0.9
2022-01-26,11,10,0,8.9,0.809091,0.9
2022-01-27,5,3,2,0.95,0.19,0.9
2022-01-28,2,1,1,0.05,0.025,0.9
2022-01-30,1,1,0,0.9,0.9,0.9
2022-01-31,9,9,0,8.1,0.9,0.9
2022-02-01,9,5,4,1.0,0.111111,0.9
2022-02-02,10,8,0,6.95,0.695,0.9
2022-02-03,6,6,0,5.15,0.858333,0.9
2022-02-04,5,5,0,4.35,0.87,0.9
2022-02-05,1,1,0,0.9,0.9,0.9
2022-02-06,1,1,0,0.9,0.9,0.9
2022-02-07,8,2,6,-3.45,-0.43125,0.9
2022-02-08,10,4,6,-1.8,-0.18,0.9
2022-02-09,9,8,1,6.3,0.7,0.95
2022-02-10,6,3,3,0.2,0.033333,0.9
2022-02-11,2,2,0,1.8,0.9,0.9
2022-02-13,2,1,1,0.05,0.025,0.9
2022-02-14,15,11,4,6.25,0.416667,0.95
2022-02-15,5,1,4,-2.7,-0.54,0.95
2022-02-16,9,8,0,7.1,0.788889,0.9
2022-02-17,7,1,6,-4.35,-0.621429,0.9
2022-02-18,4,2,2,0.05,0.0125,0.9
2022-02-19,1,1,0,0.9,0.9,0.9
2022-02-20,2,2,0,1.8,0.9,0.9
2022-02-21,4,4,0,3.6,0.9,0.9
2022-02-22,11,9,1,7.35,0.668182,0.95
2022-02-23,9,4,3,0.95,0.105556,0.9
2022-02-24,12,11,1,9.05,0.754167,0.95
2022-02-25,12,9,3,5.7,0.475,0.95
2022-02-27,2,2,0,1.85,0.925,0.95
2022-02-28,17,16,1,13.5,0.794118,0.95
2022-03-01,10,10,0,8.95,0.895,0.95
2022-03-02,17,16,1,13.35,0.785294,0.95
2022-03-03,17,12,5,6.5,0.382353,0.95
2022-03-04,12,11,1,9.2,0.766667,0.95
2022-03-05,1,0,1,-0.85,-0.85,0.85
2022-03-06,6,6,0,5.5,0.916667,0.95
2022-03-07,27,24,3,19.55,0.724074,0.95
2022-03-08,30,28,2,24.3,0.81,0.95
2022-03-09,23,14,9,4.9,0.213043,0.95
2022-03-10,31,26,5,18.85,0.608065,0.95
2022-03-11,10,8,2,5.25,0.525,0.9
2022-03-13,3,1,2,-0.85,-0.283333,0.9
2022-03-14,8,5,2,2.65,0.33125,0.9
2022-03-15,12,6,6,0.25,0.020833,0.95
2022-03-16,6,4,2,1.85,0.308333,0.9
2022-03-17,8,4,3,1.05,0.13125,0.95
2022-03-18,11,3,7,-3.3,-0.3,0.9
2022-03-20,3,3,0,2.75,0.916667,0.95
2022-03-21,7,6,1,4.45,0.635714,0.9
2022-03-22,7,6,1,4.35,0.621429,0.9
2022-03-23,11,9,2,6.45,0.586364,0.95
2022-03-24,6,3,3,0.1,0.016667,0.9
2022-03-25,8,6,2,3.65,0.45625,0.95
2022-03-27,1,1,0,0.85,0.85,0.85
2022-03-28,8,3,5,-1.95,-0.24375,0.9
2022-03-29,6,4,2,1.85,0.308333,0.95
2022-03-30,6,3,3,0.1,0.016667,0.9
2022-03-31,17,4,11,-6.4,-0.376471,0.95
2022-04-01,9,3,5,-1.85,-0.205556,0.95
2022-04-02,1,1,0,0.85,0.85,0.85
2022-04-03,1,0,1,-0.9,-0.9,0.9
2022-04-04,8,6,2,3.8,0.475,0.95
2022-04-05,7,3,2,1.0,0.142857,0.95
2022-04-06,5,1,3,-1.8,-0.36,0.9
2022-04-07,6,3,2,0.9,0.15,0.9
2022-04-08,5,3,2,0.8,0.16,0.9
2022-04-09,1,0,1,-0.9,-0.9,0.9
2022-04-11,6,2,4,-1.85,-0.308333,0.9
2022-04-12,7,3,3,0.1,0.014286,0.9
2022-04-13,4,1,2,-0.9,-0.225,0.9
2022-04-14,5,2,3,-0.9,-0.18,0.9
2022-04-15,2,2,0,1.7,0.85,0.85
2022-04-18,4,3,1,2.0,0.5,0.95
2022-04-19,5,3,2,0.9,0.18,0.95
2022-04-20,8,4,3,0.85,0.10625,0.9
2022-04-21,7,5,2,2.8,0.4,0.95
2022-04-22,7,1,5,-3.4,-0.485714,0.9
2022-04-24,1,1,0,0.85,0.85,0.85
2022-04-25,6,2,4,-1.7,-0.283333,0.9
2022-04-26,8,5,3,2.0,0.25,0.95
2022-04-27,7,5,2,2.65,0.378571,0.9
2022-04-28,7,5,1,3.6,0.514286,0.9
2022-04-29,9,3,6,-2.45,-0.272222,0.9
2022-05-02,4,3,1,1.85,0.4625,0.9
2022-05-03,2,1,1,0.05,0.025,0.9
2022-05-04,7,5,1,3.55,0.507143,0.95
2022-05-05,10,6,4,2.05,0.205,0.95
2022-05-06,9,8,1,6.35,0.705556,0.95
2022-05-08,3,0,3,-2.55,-0.85,0.9
2022-05-09,3,1,2,-0.85,-0.283333,0.95
2022-05-10,9,3,6,-2.7,-0.3,0.9
2022-05-11,11,7,4,2.6,0.236364,0.9
2022-05-12,7,4,3,0.9,0.128571,0.9
2022-05-13,3,3,0,2.65,0.883333,0.9
2022-05-16,3,2,1,0.85,0.283333,0.9
2022-05-17,4,1,3,-1.8,-0.45,0.9
2022-05-18,2,0,2,-1.8,-0.9,0.9
2022-05-19,7,5,2,2.65,0.378571,0.9
2022-05-20,4,1,3,-1.75,-0.4375,0.9
2022-05-23,4,1,2,-0.85,-0.2125,0.85
2022-05-24,8,1,4,-2.7,-0.3375,0.9
2022-05-25,4,1,2,-0.85,-0.2125,0.85
2022-05-26,3,2,1,0.9,0.3,0.9
2022-05-27,4,4,0,3.5,0.875,0.9
2022-05-29,1,0,1,-0.9,-0.9,0.9
2022-05-30,3,1,2,-0.9,-0.3,0.9
2022-05-31,7,6,1,4.55,0.65,0.9
2022-06-01,8,6,2,3.75,0.46875,0.95
2022-06-02,5,2,3,-0.8,-0.16,0.9
2022-06-03,2,1,1,0.05,0.025,0.9
2022-06-05,2,0,2,-1.8,-0.9,0.9
2022-06-06,10,9,1,7.15,0.715,0.9
2022-06-07,4,4,0,3.55,0.8875,0.9
2022-06-08,7,4,3,0.95,0.135714,0.9
2022-06-09,4,1,3,-1.55,-0.3875,0.9
2022-06-10,8,1,7,-5.0,-0.625,0.9
2022-06-13,5,4,1,2.65,0.53,0.9
2022-06-14,9,2,7,-4.35,-0.483333,0.9
2022-06-15,3,1,2,-0.85,-0.283333,0.9
2022-06-16,5,3,2,0.95,0.19,0.9
2022-06-17,4,2,2,0.0,0.0,0.95
2022-06-18,1,0,1,-0.9,-0.9,0.9
2022-06-20,6,2,4,-1.7,-0.283333,0.9
2022-06-21,7,4,3,0.9,0.128571,0.9
2022-06-22,6,0,6,-5.2,-0.866667,0.95
2022-06-23,3,2,1,0.9,0.3,0.9
2022-06-24,3,3,0,2.55,0.85,0.85
2022-06-27,7,2,5,-2.55,-0.364286,0.9
2022-06-28,12,6,6,-0.15,-0.0125,0.95
2022-06-29,9,2,7,-4.4,-0.488889,0.95
2022-06-30,7,3,4,-0.85,-0.121429,0.9
2022-07-01,1,1,0,0.85,0.85,0.85
2022-07-02,1,0,1,-0.85,-0.85,0.85
2022-07-04,7,4,3,0.95,0.135714,0.9
2022-07-05,7,1,6,-4.4,-0.628571,0.95
2022-07-06,5,2,2,0.0,0.0,0.9
2022-07-07,6,5,1,3.55,0.591667,0.9
2022-07-08,4,1,2,-0.9,-0.225,0.9
2022-07-11,3,0,3,-2.55,-0.85,0.85
2022-07-12,8,2,6,-3.4,-0.425,0.9
2022-07-13,7,2,5,-2.65,-0.378571,0.9
2022-07-14,10,1,9,-7.05,-0.705,0.9
2022-07-15,4,1,2,-0.7,-0.175,0.9
2022-07-16,1,0,1,-0.9,-0.9,0.9
2022-07-18,6,4,1,2.65,0.441667,0.9
2022-07-19,7,2,4,-1.65,-0.235714,0.9
2022-07-20,7,4,3,0.95,0.135714,0.9
2022-07-21,4,3,1,1.85,0.4625,0.9
2022-07-22,5,3,2,0.95,0.19,0.9
2022-07-25,6,3,3,-0.15,-0.025,0.9
2022-07-26,2,0,2,-1.7,-0.85,0.9
2022-07-27,6,4,2,1.75,0.291667,0.9
2022-07-28,11,5,6,-0.8,-0.072727,0.9
2022-07-29,9,6,3,2.7,0.3,0.95
2022-07-31,1,1,0,0.85,0.85,0.85
2022-08-01,4,2,2,0.05,0.0125,0.95
2022-08-02,3,1,2,-0.9,-0.3,0.9
2022-08-03,7,2,5,-2.55,-0.364286,0.9
2022-08-04,6,2,3,-0.5,-0.083333,0.9
2022-08-05,2,2,0,1.8,0.9,0.9
2022-08-06,1,1,0,0.9,0.9,0.9
2022-08-07,1,0,1,-0.85,-0.85,0.85
2022-08-08,5,2,3,-0.8,-0.16,0.9
2022-08-09,3,1,1,0.05,0.016667,0.9
2022-08-10,3,1,2,-0.9,-0.3,0.9
2022-08-11,5,2,3,-0.9,-0.18,0.9
2022-08-12,6,2,4,-1.7,-0.283333,0.9
2022-08-15,7,1,6,-4.2,-0.6,0.9
2022-08-16,6,0,6,-5.2,-0.866667,0.9
2022-08-17,10,3,7,-3.4,-0.34,0.9
2022-08-18,4,2,1,0.85,0.2125,0.85
2022-08-19,2,0,2,-1.75,-0.875,0.9
2022-08-22,5,1,4,-2.5,-0.5,0.9
2022-08-23,7,5,2,2.75,0.392857,0.9
2022-08-24,3,2,1,0.85,0.283333,0.85
2022-08-25,2,1,1,-0.05,-0.025,0.9
2022-08-26,6,4,2,1.75,0.291667,0.9
2022-08-27,1,0,1,-0.9,-0.9,0.9
2022-08-29,3,2,1,0.8,0.266667,0.9
2022-08-30,3,2,1,0.9,0.3,0.9
2022-08-31,5,3,2,1.0,0.2,0.9
